system,method,shots,computer,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5,PDS 6
linear_4,mix,471600,qasm simulator,1.8859095688748684,-3.7957601235292024,-6.91052233103666,-8.618550830345281,-9.378796918301544,-9.734831782335021
linear_4,mix,471600,qasm simulator,1.8559411146161935,-3.686777847681899,-6.813474095658475,-8.657593183280085,-9.45286440166467,-9.760782380214167
linear_4,mix,471600,qasm simulator,1.9458464773922188,-3.8112386059126777,-6.886051901664931,-8.572194114056455,-9.310058714504304,-9.707803571170274
linear_4,mix,471600,qasm simulator,1.8953732912723453,-3.298880226793781,-6.029571170587289,-7.746997026242729,-8.513846731626384,-9.046771018604709
linear_4,mix,471600,qasm simulator,1.9900105152471084,-3.2250241725305333,-5.926002506408556,-7.826674578056082,-8.790461191615321,-9.314024497930308
linear_4,mix,471600,qasm simulator,1.9679284963196637,-3.2344447152273257,-5.770573772540171,-7.434855099356508,-8.207277364681822,-8.587602301038046
linear_4,mix,471600,qasm simulator,2.0436382754994744,-3.350690287304546,-6.422875277802614,-8.75958529917742,-9.609700963041739,-9.823048626887621
linear_4,mix,471600,qasm simulator,1.8454258675078863,-3.653587586019262,-6.770209523480396,-8.461620978008439,-9.191115479060826,-9.657522586373236
linear_4,mix,471600,qasm simulator,1.9369085173501575,-3.5736689448283387,-6.6609863886429865,-8.54086272879957,-9.322519780931152,-9.701010149143746
linear_4,mix,471600,qasm simulator,1.853838065194532,-3.3777941248688137,-6.31524732443655,-8.246044164927136,-9.055001406332899,-9.550772773419482
linear_4,mix,471600,qasm simulator,1.9179810725552056,-3.306323300355742,-5.70899574890998,-6.944299916948902,-6.982913314222567,-11.593777736356234
linear_4,mix,471600,qasm simulator,1.9626708727655098,-3.037175846062768,-5.886017477189939,-8.283368628039925,-9.218366355260471,-9.612380220255073
linear_4,mix,471600,qasm simulator,1.9442691903259726,-3.31603019331399,-5.934465754268062,-7.084834799060924,-7.117840451239245,-11.553255004866774
linear_4,mix,471600,qasm simulator,1.837013669821241,-3.6567014051239326,-6.414867765125038,-8.34787730647832,-9.249963844001945,-9.66086321610649
linear_4,mix,471600,qasm simulator,1.9363827549947423,-3.151609088201193,-5.3535712197656915,-6.6846138584464585,-7.000074649379116,-16.01403982277754
linear_4,mix,471600,qasm simulator,1.7986330178759202,-3.8268719548692536,-7.1992835222412825,-8.795780152257082,-9.395316840963673,-9.77568442402747
linear_4,mix,471600,qasm simulator,1.9405888538380656,-3.2461439535556895,-6.022697109793256,-7.633888120469209,-8.089883561079379,-8.23203776729029
linear_4,mix,471600,qasm simulator,1.9584647739221872,-2.80692485428956,-3.977758194511738,X,-11.224959037881865,-10.291563373722843
linear_4,mix,471600,qasm simulator,2.0021030494216614,-3.1169115699331487,-5.1714195955795415,-6.273230954878398,X,-11.199541827149915
linear_4,mix,471600,qasm simulator,1.914826498422713,-3.585243551644308,-6.780164564784885,-8.250700705071477,-8.790670927060393,-9.476264135024568
linear_4,mix,471600,qasm simulator,1.9468980021030498,-3.4944312169470315,-6.286972212068175,-7.680628892727586,-8.073573175133673,-8.23132466660936
linear_4,mix,471600,qasm simulator,1.8958990536277607,-3.7244423103628335,-7.119419146296854,-8.999831145439327,-9.630062810293376,-9.838939317594221
linear_4,mix,471600,qasm simulator,1.976340694006309,-3.410502748023134,-6.7160320674746465,-8.713208322885448,-9.40970027904374,-9.744244891674398
linear_4,mix,471600,qasm simulator,2.005783385909569,-3.14864754133427,-5.882889292136361,-8.163468658053207,-9.230916419021675,-9.62410197483035
linear_4,mix,471600,qasm simulator,1.8953732912723449,-3.5923571400413423,-6.6134105680629425,-8.592124782651725,-9.432435323079176,-9.745827078099104
linear_4,mix,471600,qasm simulator,1.968454258675079,-3.2372920390362605,-5.499212356252226,-6.573611347810162,X,-11.145358407010717
linear_4,mix,471600,qasm simulator,1.8286014721345953,-3.1707757927802054,-5.765642880496637,-7.680829237912077,-8.334466180276747,-8.717159268452079
linear_4,mix,471600,qasm simulator,1.960042060988433,-3.354988523937376,-6.271920248144969,-8.432422837691297,-9.260604449429518,-9.656167829076333
