system,method,shots,computer,Moment 0,Moment 1,Moment 2,Moment 3,Moment 4,Moment 5,Moment 6,Moment 7,Moment 8,Moment 9,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5
linear_4,mix,21504,qasm simulator,1.0,1.91796875,6.80859375,12.6640625,73.0546875,20.78515625,1191.30078125,-3221.65625,32189.859375,-166329.34765625,1.91796875,-2.7190432697501237,-5.215021116756954,-6.1976963427866405,-6.452846969262551
linear_4,mix,21504,qasm simulator,1.0,1.818359375,6.73828125,10.404296875,76.8203125,-30.775390625,1410.90234375,-4877.876953125,41749.890625,-229958.806640625,1.818359375,-3.060368970218082,-5.321387858482863,-6.273130222431123,-6.46015809888698
linear_4,mix,21504,qasm simulator,1.0,1.78515625,6.7421875,10.09765625,82.125,-66.26171875,1693.6484375,-6742.91796875,54492.5625,-313253.24609375,1.78515625,-3.0635651128419554,-5.702739607173393,-6.31499663397741,-6.456262410733229
linear_4,mix,21504,qasm simulator,1.0,1.7109375,7.2578125,7.83984375,96.546875,-144.546875,2187.2734375,-9746.10546875,73615.59375,-434453.7421875,1.7109375,-3.585650216369269,-5.697027376651201,-6.350545566358102,-6.4595815773169605
linear_4,mix,21504,qasm simulator,1.0,1.83203125,6.84375,10.37890625,80.03125,-43.04296875,1524.0625,-5528.43359375,46297.4375,-258670.79296875,1.83203125,-3.150990374915074,-5.430731006164098,-6.311056591784365,-6.4617923908533275
linear_4,mix,21504,qasm simulator,1.0,1.849609375,6.9921875,9.755859375,89.328125,-102.369140625,1972.4453125,-8465.587890625,66075.03125,-387593.212890625,1.849609375,-3.4172669818212875,-5.884475664728317,-6.360537720878145,-6.459680902545059
linear_4,mix,21504,qasm simulator,1.0,1.896484375,6.95703125,9.904296875,88.2109375,-99.556640625,1946.98046875,-8359.830078125,65327.984375,-383437.259765625,1.896484375,-3.4983151773349803,-5.924505352441707,-6.370290007161967,-6.461989808520684
linear_4,mix,21504,qasm simulator,1.0,1.7421875,7.1171875,8.80859375,87.75,-86.375,1774.7421875,-7041.77734375,55666.4375,-317636.3671875,1.7421875,-3.413605653960465,-5.401307746694769,-6.3383927982505615,-6.46245665160776
linear_4,mix,21504,qasm simulator,1.0,1.75,6.91796875,8.87109375,86.4921875,-93.9765625,1825.03515625,-7554.48046875,59140.609375,-342399.078125,1.75,-3.3457620477459833,-5.590412715966238,-6.3282222375082195,-6.459735727127393
linear_4,mix,21504,qasm simulator,1.0,1.896484375,6.68359375,11.791015625,74.3671875,-4.314453125,1313.92578125,-4176.044921875,38028.734375,-205670.525390625,1.896484375,-2.835333667302258,-5.41945070982894,-6.275166112281578,-6.4591011171742085
linear_4,mix,21504,qasm simulator,1.0,1.927734375,6.7578125,10.486328125,82.828125,-73.376953125,1761.5546875,-7253.630859375,58053.78125,-337399.244140625,1.927734375,-3.340475361185444,-5.930956805992983,-6.370007483560056,-6.464391695818698
linear_4,mix,21504,qasm simulator,1.0,1.876953125,6.734375,11.642578125,71.21875,18.814453125,1106.703125,-2768.732421875,28187.6875,-140704.373046875,1.876953125,-2.864832050598671,-4.928449392552179,-6.237373451849673,-6.470642502334112
