system,method,shots,computer,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5,PDS 6
linear_4,mix,471600,qasm simulator,2.2444794952681395,-3.4300298910039,-5.959345918578451,-7.550756930038303,-8.31211606969446,-8.658296238312541
linear_4,mix,471600,qasm simulator,2.2492113564668768,-3.5005089129344804,-6.47646445548223,-8.482031832467177,-9.34997065499664,-9.693739133109801
linear_4,mix,471600,qasm simulator,2.116193480546793,-3.9896973437493157,-7.206455575757884,-8.756593020260437,-9.435637968467482,-9.78030555140934
linear_4,mix,471600,qasm simulator,2.1724500525762354,-3.0560751749992408,-5.795686222378913,-8.94509592277115,-10.024822257846662,-10.047837463551435
linear_4,mix,471600,qasm simulator,2.139327024185068,-3.32273918729937,-6.3741363238980355,-8.783882331274832,-9.72227414176275,-9.859927659733497
linear_4,mix,471600,qasm simulator,2.1577287066246056,-2.972409720356084,-5.493115508015185,-7.98867894336853,-9.420896458238863,-9.702952938662397
linear_4,mix,471600,qasm simulator,2.1855941114616195,-2.9477006290522247,-4.997498073987485,-6.5748556753507685,-7.248339327964695,X
linear_4,mix,471600,qasm simulator,2.205573080967403,-2.988049704352698,-5.754602161848006,-8.422077362911628,-9.565385354053593,-9.76861756232747
linear_4,mix,471600,qasm simulator,2.288117770767613,-3.0137733013273813,-5.000489486990649,-6.238732908920573,-6.653151879799942,-15.494357747517698
linear_4,mix,471600,qasm simulator,2.1019978969505786,-3.941834241323431,-6.715571903914583,-8.295185148534088,-9.172107269699715,-9.619798699175222
linear_4,mix,471600,qasm simulator,2.226603575184017,-2.7979557370727908,-4.147580162205419,-4.157231801679171,-11.358174353299235,-10.398399363885302
linear_4,mix,471600,qasm simulator,2.139327024185069,-2.7620010520842615,-3.985186935775814,X,-11.255097875689433,-10.336027521491104
linear_4,mix,471600,qasm simulator,2.1482649842271293,-3.5099861680966864,-6.365594002518309,-8.40259769114585,-9.414108886333363,-9.717461030014789
linear_4,mix,471600,qasm simulator,2.2229232386961093,-3.086909584325279,-5.694638766312334,-8.085699268058473,-9.450210066208896,-9.71262515927118
linear_4,mix,471600,qasm simulator,2.1798107255520502,-3.5554301546936706,-6.254519630111581,-8.148538908373554,-9.120323829256847,-9.556542543441752
linear_4,mix,471600,qasm simulator,2.31335436382755,-3.082960816950035,-5.800296758363869,-8.581502287225254,-9.688709624022799,-9.831080754275522
linear_4,mix,471600,qasm simulator,2.170347003154574,-2.8431071003339956,-4.716188482788909,-6.885460054736608,-8.85550854615989,-9.288297684281188
linear_4,mix,471600,qasm simulator,2.2029442691903265,-3.2681097775609547,-5.526057879050107,-6.627815372871319,-6.637002633787153,-11.191562905991677
linear_4,mix,471600,qasm simulator,2.125131440588854,-3.645429877306209,-6.428323973959923,-8.37507270857084,-9.333758941508975,-9.68259843483614
linear_4,mix,471600,qasm simulator,2.1861198738170353,-3.480812099809851,-6.64394152596533,-8.653453962304077,-9.38017009308654,-9.727416457653222
linear_4,mix,471600,qasm simulator,2.236593059936909,-3.546772527084771,-6.657156282213546,-8.610009271735814,-9.431651123028928,-9.738430871797668
linear_4,mix,471600,qasm simulator,2.096740273396425,-3.542914307864864,-6.366122057899579,-8.421225695727836,-9.341358696272007,-9.689258221401843
linear_4,qwc,471696,qasm simulator,2.173501577287066,-3.128156767251171,-5.750311690050983,-7.877523812714159,-9.183403127462775,-9.559860302844015
linear_4,qwc,471696,qasm simulator,2.134069400630915,-3.2440723327309398,-6.020019262076351,-8.615894079943283,-9.650760460615487,-9.826433136117814
linear_4,qwc,471696,qasm simulator,2.115930599369085,-2.9014909800654074,-3.864287836093421,X,-10.814472286076366,-10.233642439432472
linear_4,qwc,471696,qasm simulator,2.1742902208201897,-3.8362917915258046,-6.727517377202639,-8.375401671902837,-9.261981761139303,-9.66056762833026
