system,method,shots,computer,Moment 0,Moment 1,Moment 2,Moment 3,Moment 4,Moment 5,Moment 6,Moment 7,Moment 8,Moment 9,Moment 10,Moment 11,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5,PDS 6
linear_4,mix,471600,qasm simulator,1.0,2.2476340694006307,12.446898002103053,32.81125131440589,233.35751840168265,376.0858650215228,6370.333270023151,-9175.189218332096,284283.10424656013,-1587521.6692085818,19157472.836624112,-156974395.9110391,2.2476340694006307,-3.0023707198075464,-5.688124169292628,-8.116709540339066,-9.261709111317614,-9.594838468357292
linear_4,mix,471600,qasm simulator,1.0,2.20136698212408,12.696109358569924,31.01209253417451,251.25657202944257,263.9018430172017,7457.936184479003,-17531.227206172953,364644.2531837836,-2310406.479222168,26224892.660027217,-225169067.56618106,2.20136698212408,-3.250922016017344,-6.072347653494731,-8.220048159997152,-9.44496893548648,-9.719874985303477
linear_4,mix,471600,qasm simulator,1.0,2.1876971608832805,12.450052576235537,33.32860147213455,223.01682439537362,515.6790492766253,5030.328655861368,4810.905525943659,152582.05642376962,-301694.5387285667,6929400.039167075,-38940675.76164981,2.1876971608832805,-2.8994181502204963,-4.749378210755795,-6.583640335147435,-8.647919118258503,-9.191482960001018
linear_4,mix,471600,qasm simulator,1.0,2.1414300736067293,12.503680336487918,31.24868559411143,234.07676130389066,361.47561291458703,6298.167041635718,-9090.591634594579,283805.08746705914,-1645894.3092256822,20137467.41790371,-171655671.06994104,2.1414300736067293,-3.090043947923181,-5.499616131216084,-8.154268673256459,-9.588127264553858,-9.797594970281438
linear_4,mix,471600,qasm simulator,1.0,2.217665615141956,12.472134595162986,32.590956887486875,230.25762355415338,420.0237085152776,5812.916705659999,-3131.085777826085,220569.61649391518,-938387.4028818536,12587000.956977807,-91174277.81606369,2.217665615141956,-3.009847909535279,-5.329777546234947,-7.480494045897713,-8.842746375787518,-9.29092196268548
linear_4,mix,471600,qasm simulator,1.0,2.203470031545741,13.255520504731848,29.027865404837023,284.026288117771,39.311165845647004,9928.095179389438,-39211.3256540951,580290.9527924692,-4349395.544754543,46161857.504737034,-418425107.0341643,2.203470031545741,-3.6580478396380056,-6.735454638950802,-8.722472107185911,-9.564818089004909,-9.795828840023724
linear_4,mix,471600,qasm simulator,1.0,2.1587802313354363,12.535226077812826,30.956887486855944,237.1261829652991,356.61096693654247,6114.888270175648,-4569.477083149961,216524.75851651543,-766217.4003137959,9679454.794451455,-52805675.75710088,2.1587802313354363,-3.1479708977686793,-5.503077891009115,-7.088383242766209,-7.571487070656271,-18.582375898457897
linear_4,mix,471600,qasm simulator,0.9999999999999999,2.188748685594111,12.969505783385909,29.655625657202933,267.34069400630887,134.18525741635898,8788.875510870064,-29934.021654675013,486503.2477604019,-3485376.240435688,37704335.60375992,-337175461.8197837,2.1887486855941116,-3.4771625380074753,-6.469062698178975,-8.597721955065825,-9.533181957340283,-9.774997323313407
linear_4,mix,471600,qasm simulator,1.0,2.124605678233439,13.208201892744475,27.082544689800237,281.19768664563634,19.067320891153926,9599.395044078257,-36724.94567899293,542498.8315983473,-3978968.3226509006,42115938.70444275,-377727043.9731335,2.124605678233439,-3.7238707515838114,-6.541837999376611,-8.559444213300804,-9.50845393951021,-9.76894446397805
linear_4,mix,471600,qasm simulator,1.0,2.1572029442691907,12.57623554153523,30.640904311251376,245.27549947423776,288.9934603450864,7080.155939905966,-15085.184242151221,341291.25169023726,-2140026.045760332,24776694.279774643,-214024513.50857177,2.1572029442691907,-3.194424716719924,-5.886022158146096,-8.23497696440254,-9.531091921480133,-9.760347340575837
linear_4,mix,471600,qasm simulator,1.0,2.2239747634069396,12.680336487907462,32.49211356466881,247.48580441640357,321.2079532563587,7333.198619032087,-16642.354783401486,372627.64803275035,-2434939.681533061,28132615.939172056,-247070029.57067096,2.2239747634069396,-3.117177474892699,-6.000124640136123,-8.564825652181415,-9.584090780458837,-9.784853598133894
linear_4,mix,471600,qasm simulator,1.0,2.2381703470031544,13.236593059936915,28.802839116719248,293.24605678233473,-66.55581886839417,11221.96785684069,-52844.76413989949,727406.7930873325,-5871843.599100605,61958828.9921489,-579974717.2751085,2.2381703470031544,-3.719202821812665,-7.14775310990681,-9.068882123697305,-9.753451226249668,-9.87632107159448
linear_4,mix,471600,qasm simulator,1.0,2.0993690851735014,13.311251314405897,26.247634069400664,284.8191377497364,-21.73131989660783,9586.242194285152,-35080.27068991424,496898.84533320373,-3350823.39245612,33937975.92153273,-282569295.73779714,2.0993690851735014,-3.799461485730988,-6.567609211786682,-8.123525261194334,-8.9172611474994,-9.465253415023513
linear_4,mix,471600,qasm simulator,1.0,2.244479495268139,12.954784437434286,29.510515247108266,271.17245005257575,118.89679777056146,8674.081792161865,-26019.01562696942,421758.0021565751,-2620633.1841563964,27196444.34541569,-216934516.00771207,2.244479495268139,-3.554862329758278,-6.52043844753358,-7.991695101518548,-8.721389062365155,-9.26762620609585
linear_4,mix,471600,qasm simulator,1.0,2.221871713985278,13.321766561514197,27.844374342797032,295.2923238696111,-106.67119910076705,11383.859648789572,-55053.175991394644,741269.5564183021,-6009216.882627507,62955236.17123864,-588452617.6582519,2.221871713985278,-3.8191724459886194,-7.127652059039839,-9.070603953742271,-9.710298990650287,-9.861686134911006
linear_4,mix,471600,qasm simulator,1.0,2.1577287066246056,12.697160883280755,29.447949526813822,256.953732912723,173.3565497557659,8134.509459981322,-24904.04685587221,430469.2024015282,-2962403.235012605,32348143.18633799,-284598133.2972563,2.1577287066246056,-3.3600408096609344,-6.307071780001152,-8.45045223753579,-9.451871028445645,-9.733635998483074
linear_4,mix,471600,qasm simulator,0.9999999999999999,2.268664563617245,12.912723449001053,31.248685594111482,260.3711882229231,226.37070907989175,7995.848717421881,-21124.020544444593,398592.8795057429,-2564107.9438378103,28334338.07717969,-241231249.01912722,2.2686645636172456,-3.389543953991389,-6.26199922611349,-8.25672650852713,-9.298472584218048,-9.648759956887348
linear_4,mix,471600,qasm simulator,1.0,2.177707676130389,12.746582544689817,30.77602523659307,251.5299684542585,269.98991468664224,7318.590646092036,-15520.105908740066,337108.4578713878,-1974914.5636983938,22261710.860703193,-180631091.71851912,2.177707676130389,-3.2699730876272532,-5.98627027849484,-7.996521986512441,-9.041942964522972,-9.477670184599383
linear_4,mix,471600,qasm simulator,1.0,2.118296529968454,13.037854889589918,27.910094637223953,268.17139852786516,128.12806586792294,8226.072465419655,-22596.715288029678,383244.3068777314,-2301074.7666487005,24211888.670487653,-191424877.47486436,2.118296529968454,-3.583727094898751,-6.211302166037195,-7.833735829806387,-8.730282710487648,-9.246519088403353
linear_4,mix,471600,qasm simulator,1.0,2.076235541535226,13.0347003154574,27.570452155625638,270.7013669821247,79.13452523400241,8903.500967207052,-30885.19816233562,480961.67759170337,-3379175.6065516374,35929653.90263235,-315227468.03812784,2.076235541535226,-3.564639295281107,-6.403524072963613,-8.415265828883912,-9.36669508723783,-9.701976971113833
linear_4,mix,471600,qasm simulator,1.0,2.1729758149316507,12.567823343848584,30.979495268138802,243.9674027339642,276.7909822691183,7276.4629966324965,-18201.675823910213,375879.1195054667,-2530600.463912034,28858240.02476466,-256714127.43258676,2.1729758149316507,-3.1729040574493848,-6.00238916434885,-8.562376601063502,-9.642210956513463,-9.822263470752834
linear_4,mix,471600,qasm simulator,1.0,2.158254468980021,13.289169295478443,26.087802313354345,301.9779179810726,-188.08062293774313,11871.26381298858,-59162.45672863593,767327.0587967472,-6191730.461964385,63951100.07323837,-592848752.3919289,2.158254468980021,-3.8865946256070374,-7.189961117848848,-8.94561895630157,-9.618398867614292,-9.83161986198108
linear_4,mix,471600,qasm simulator,1.0,2.169821240799158,13.135646687697161,29.774447949526802,268.9810725552044,179.31085505016682,8380.609931527159,-23716.52097696843,421711.2721589983,-2749888.6495956443,30022700.629687686,-256059656.22819632,2.169821240799158,-3.5041340737958815,-6.2310166486359435,-8.234791431456703,-9.281061916494426,-9.646490057102067
linear_4,mix,471600,qasm simulator,1.0,2.1934805467928493,12.886435331230288,31.70557308096742,258.36277602523705,268.34058004796566,7709.729192961952,-17056.601851995554,356346.78665041266,-2058969.228414524,22803466.21803269,-180111500.62716883,2.1934805467928493,-3.2507777308066044,-6.149731020890628,-8.00510907905813,-8.816113093268513,-9.342486806565363
linear_4,mix,471600,qasm simulator,1.0,2.1756046267087275,12.94111461619349,29.11041009463722,272.41535226077804,88.41421267734883,8999.234819799047,-29799.321502385363,461343.65199021477,-3033726.645441074,31420022.901336316,-259880309.33202177,2.1756046267087275,-3.504253801456586,-6.619810787949376,-8.178829146908198,-8.915157508880279,-9.468291659250129
linear_4,mix,471600,qasm simulator,1.0,2.2539432176656153,13.064143007360668,32.16876971608838,262.4027339642485,260.05913661015427,8094.375164678409,-22110.784709380063,427974.0539926561,-2938104.005602079,33136526.40692463,-296084223.6155107,2.2539432176656153,-3.3401007987143356,-6.209842977053821,-8.608857062225411,-9.657842705758775,-9.827878272912672
linear_4,mix,471600,qasm simulator,1.0,2.1871713985278656,12.568874868559408,31.10725552050478,242.9263932702413,311.0948910402859,6685.907086539844,-10078.184476110753,274687.68526604824,-1358018.0776861848,15781883.142263815,-115208753.04093738,2.1871713985278656,-3.174558721522721,-5.8210359921067525,-7.571082679858845,-8.552378624246,-8.986837216234163
linear_4,mix,471600,qasm simulator,1.0,2.1708727655099898,12.876971608832797,30.494742376445885,251.84542586750814,262.3910195645778,7240.243415020726,-15439.3132378155,333145.5527394022,-1979906.9569211435,22404112.828777697,-184931266.74454466,2.1708727655099898,-3.340937685753644,-5.928469400533747,-7.977225682291809,-9.194304319647207,-9.578639567357193
linear_4,mix,471600,qasm simulator,1.0,2.251840168243953,12.934805467928499,32.88801261829654,251.43112513144044,356.4597416253554,6980.275536884801,-10711.598751810949,305256.85496671306,-1661107.502920303,19798234.559738662,-158626532.84479415,2.251840168243953,-3.2126995008953174,-5.790575398082455,-7.925336660397875,-9.135053699016417,-9.527836144516922
