system,method,shots,computer,Moment 0,Moment 1,Moment 2,Moment 3,Moment 4,Moment 5,Moment 6,Moment 7,Moment 8,Moment 9,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5
linear_4,mix,21504,qasm simulator,1.0,1.6796875,6.7109375,11.06640625,66.390625,45.53125,843.2578125,-1046.89453125,16001.78125,-60848.9296875,1.6796875,-2.6342493104007403,-4.204684806930113,-5.448109429163578,-6.415514080329651
linear_4,mix,21504,qasm simulator,1.0,1.703125,7.23046875,7.859375,93.8515625,-135.390625,2091.83203125,-9222.515625,69842.890625,-410910.234375,1.703125,-3.555425943130963,-5.630570400252649,-6.312750132160409,-6.457822786655459
linear_4,mix,21504,qasm simulator,1.0,1.623046875,6.96875,8.513671875,79.578125,-48.517578125,1414.890625,-4819.783203125,40021.96875,-216731.595703125,1.623046875,-3.1722285971568316,-4.941701095725402,-6.151341741753168,-6.452791804787994
linear_4,mix,21504,qasm simulator,1.0,1.5546875,7.0390625,7.546875,84.875,-88.1328125,1668.3203125,-6515.421875,51008.4375,-288419.5078125,1.5546875,-3.251296880909791,-5.169724172388369,-6.188688148780768,-6.4534522561240095
linear_4,mix,21504,qasm simulator,1.0,1.515625,7.41015625,5.65234375,98.3515625,-167.6484375,2193.32421875,-9823.01171875,72456.578125,-426104.8125,1.515625,-3.6051772277284844,-5.418176294936659,-6.2867802368476005,-6.457510305090457
linear_4,mix,21504,qasm simulator,1.0,1.6796875,6.75390625,9.33984375,75.3515625,-32.34375,1326.85546875,-4404.05859375,37631.578125,-203324.7421875,1.6796875,-3.0252672916831176,-5.01565502593035,-6.128423200274267,-6.450817671182849
linear_4,mix,21504,qasm simulator,1.0,1.75,7.08984375,10.9296875,73.7734375,19.90625,1062.89453125,-2258.2890625,24274.796875,-112305.625,1.75,-2.970108076243615,-4.515400737813888,-5.918095715424492,-6.444160276953114
linear_4,mix,21504,qasm simulator,1.0,1.619140625,6.9765625,8.205078125,82.625,-71.599609375,1581.2578125,-5945.607421875,47544.6875,-266131.130859375,1.619140625,-3.2274561309715963,-5.148586530431598,-6.201383487106419,-6.453942142235448
linear_4,mix,21504,qasm simulator,1.0,1.6015625,7.21875,7.16796875,90.328125,-115.609375,1872.359375,-7765.63671875,59334.84375,-341654.8203125,1.6015625,-3.464256198404831,-5.30096736127834,-6.262500585645579,-6.456764718521277
linear_4,mix,21504,qasm simulator,1.0,1.609375,7.14453125,5.88671875,97.7109375,-185.2265625,2325.63671875,-10957.41796875,80206.859375,-479804.375,1.609375,-3.6993823376736636,-5.68456498552538,-6.332834649724239,-6.45899993350688
linear_4,mix,21504,qasm simulator,1.0,1.626953125,6.9375,9.326171875,75.3125,-13.177734375,1195.15625,-3311.541015625,30311.5,-152964.919921875,1.626953125,-3.0093775102108586,-4.672361342288303,-6.0120646617925,-6.446827700405813
linear_4,mix,21504,qasm simulator,1.0,1.748046875,7.1484375,9.029296875,86.484375,-82.189453125,1740.8203125,-6890.595703125,54620.71875,-311691.626953125,1.748046875,-3.391377847458754,-5.39305566886152,-6.268228439403025,-6.456801415984653
linear_4,mix,21504,qasm simulator,1.0,1.724609375,6.64453125,11.091796875,67.5078125,31.568359375,950.74609375,-1837.501953125,21380.765625,-96956.525390625,1.724609375,-2.6615069548197408,-4.5175634565549085,-5.824615920858449,-6.435805764579122
linear_4,mix,21504,qasm simulator,1.0,1.669921875,7.45703125,6.673828125,100.1796875,-170.619140625,2298.91796875,-10476.583984375,77643.171875,-460102.345703125,1.669921875,-3.7665089393385083,-5.605300387085011,-6.33933282023607,-6.459896042551932
linear_4,mix,21504,qasm simulator,1.0,1.66015625,6.921875,8.73046875,81.671875,-65.87109375,1572.5,-5918.26953125,47715.90625,-267864.83984375,1.66015625,-3.1830472709700888,-5.228983484596836,-6.208972747719477,-6.453759813999298
linear_4,mix,21504,qasm simulator,1.0,1.66796875,6.84765625,8.796875,81.1640625,-66.73046875,1581.51171875,-6024.8515625,48488.203125,-273474.25390625,1.66796875,-3.1563146057442815,-5.2875855629301824,-6.223732402564384,-6.454034404068768
linear_4,mix,21504,qasm simulator,1.0,1.517578125,6.90625,7.388671875,82.015625,-76.833984375,1558.421875,-5852.494140625,46346.46875,-258502.685546875,1.517578125,-3.171080675349784,-5.054473608999601,-6.163634031286443,-6.452137055126926
