system,method,shots,computer,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5,PDS 6
linear_6,mix,474144,qasm simulator,1.9053627760252365,-3.6627805289313335,-6.960150748695862,-8.697661793621734,-9.392719166212267,-9.749293854535225
linear_6,mix,474144,qasm simulator,1.8643533123028386,-3.424084317278927,-5.93336277947745,-7.010484543292272,-7.020298029068494,-11.32261976512722
linear_6,mix,474144,qasm simulator,1.892744479495268,-3.4514140936547424,-6.448234029660086,-8.440601161771555,-9.278829195756805,-9.673847192486184
linear_6,mix,474144,qasm simulator,1.9589905362776021,-3.390997008437982,-6.243028848857601,-8.161768731710247,-8.997070562861763,-9.498365016086854
linear_6,mix,474144,qasm simulator,1.8698738170347011,-3.494595713053587,-5.670189980315318,-6.57451630128206,X,-11.070349782465717
linear_6,mix,474144,qasm simulator,2.0370662460567823,-3.2375622342689163,-5.779229735597232,-7.02244560155844,-7.157398040607973,-12.771276479933858
linear_6,mix,474144,qasm simulator,2.054416403785489,-2.59896405824319,-3.4739639939499884,X,-10.693427531385797,-10.210753021432211
linear_6,mix,474144,qasm simulator,1.8249211356466877,-3.799057460363288,-6.8727724859090555,-8.595417858912285,-9.279777422731577,-9.710349578617084
linear_6,mix,474144,qasm simulator,1.916403785488959,-3.633744952447888,-7.166401037624331,-8.97469396200227,-9.546125402294294,-9.816712274402622
linear_6,mix,474144,qasm simulator,1.8761829652996846,-3.879042983791906,-7.059699787223217,-8.658354744938077,-9.326873029160124,-9.735686191102538
linear_6,mix,474144,qasm simulator,1.8746056782334386,-4.030976958397087,-7.137044406362508,-8.672403636587319,-9.35218556205908,-9.743940144470153
linear_6,mix,474144,qasm simulator,1.8840694006309149,-4.0407417696800065,-6.892133849732095,-8.581472299227505,-9.357325456863766,-9.726410490972246
linear_6,mix,474144,qasm simulator,1.8162460567823344,-3.8216509142700152,-6.4542141411139795,-8.055124534598658,-8.902666822372394,-9.444270332350651
linear_6,mix,474144,qasm simulator,1.9353312302839112,-3.1775288726975033,-5.82430293854981,-7.911043578671592,-8.966808219616732,-9.457339792306232
linear_6,mix,474144,qasm simulator,1.8391167192429023,-3.873295054049542,-6.368687113673218,-7.550547032168536,-7.961373909074433,-8.055858752498958
linear_6,mix,474144,qasm simulator,1.9455835962145114,-3.6034529865652165,-6.768715878250138,-8.881300426919475,-9.579611503310142,-9.811840808771663
linear_6,mix,474144,qasm simulator,1.9164037854889595,-3.838946608012898,-7.529704041727179,-9.238583552989873,-9.697887875707462,-9.87373291387143
linear_6,mix,474144,qasm simulator,1.877760252365931,-3.3596723644247968,-6.528916045308236,-8.518432598346362,-9.305086602011277,-9.693979375639742
linear_6,mix,474144,qasm simulator,1.8186119873817033,-3.7743051303154855,-6.868790534260173,-8.479411190666806,-9.129939692576137,-9.651347351587093
linear_6,mix,474144,qasm simulator,1.8990536277602525,-3.2231198222774613,-5.274743293497363,-6.9738450075684435,-8.023756755801399,-8.394484913491324
linear_6,mix,474144,qasm simulator,1.9518927444794958,-3.751160899976284,-6.782043385817937,-8.65974547112841,-9.45306713294155,-9.760021377455349
linear_6,mix,474144,qasm simulator,1.9014195583596212,-2.5431186145787597,-3.048573013309124,X,-10.626227524022507,-10.168139243855588
linear_6,mix,474144,qasm simulator,1.8367507886435328,-3.6895047756766415,-7.24506196053551,-9.052790538059213,-9.620363195148798,-9.84029082685955
linear_6,mix,474144,qasm simulator,1.9495268138801263,-3.4293777533489163,-6.541489352136517,-8.650467491981335,-9.407925135363225,-9.736056314013943
linear_6,mix,474144,qasm simulator,1.930599369085174,-3.151792962366001,-5.834180343494536,-7.443467609502289,-7.857770947873542,-7.8717303412920785
linear_6,mix,474144,qasm simulator,1.9723974763406942,-3.7775143572927705,-7.138096332053546,-8.929013375413756,-9.560290045033913,-9.81458500896033
linear_6,mix,474144,qasm simulator,1.9929022082018926,-3.086240651714598,-4.548726918366757,-4.5698563918442945,-11.81215626225789,-10.35344678669117
linear_6,mix,474144,qasm simulator,1.9613564668769718,-3.6176114549672582,-6.825270984844076,-8.69382738573544,-9.425000166613696,-9.75218024740765
linear_6,mix,474144,qasm simulator,1.7594637223974763,-3.5911683923444944,-6.604599144283528,-8.394049557834553,-9.123870746033912,-9.6220212870415
linear_6,mix,474144,qasm simulator,1.9936908517350156,-3.5000592578676035,-6.389394056308536,-8.11645620021731,-8.885474405455282,-9.43894273452753
linear_6,mix,474144,qasm simulator,1.9164037854889588,-3.538808132293113,-6.238575227104578,-8.02593907773943,-8.844530707822056,-9.39321032570985
linear_6,mix,474144,qasm simulator,1.9282334384858042,-3.332785680082728,-5.807808624240442,-7.4682079268819885,-8.365148079789233,-8.850307134718074
linear_6,mix,474144,qasm simulator,1.8438485804416405,-3.415924127203242,-5.778869684972571,-7.00261855835007,-7.173748675531856,-13.004861534142275
linear_6,mix,474144,qasm simulator,1.92192429022082,-3.419974579475703,-6.203218774922652,-7.908927422634198,-8.62918504569558,-9.199583886477862
linear_6,mix,474144,qasm simulator,1.897476340694006,-3.685668011287103,-7.194856824919729,-9.05869915289709,-9.607301626934419,-9.836139365379104
linear_6,mix,474144,qasm simulator,1.9187697160883284,-3.1209384473901873,-5.586226044062039,-7.497308830704486,-8.320669177815653,-8.714652561045447
linear_6,mix,474144,qasm simulator,1.9834384858044163,-3.3538443299342497,-6.5748477963133,-8.862047898559918,-9.619014882369903,-9.824191485492051
linear_6,mix,474144,qasm simulator,1.8832807570977919,-3.7717343512135377,-7.04290444619406,-8.729971360702283,-9.42174449597414,-9.763438855038977
linear_6,mix,474144,qasm simulator,1.9061514195583595,-3.1223781735976983,-5.40924669569956,-6.828562721893031,-6.967327061740393,-12.481023340672
linear_6,mix,474144,qasm simulator,1.9447949526813881,-3.3022472371800538,-5.999314212644669,-7.651045313955366,-8.312810809237888,-8.753809722530375
linear_6,mix,474144,qasm simulator,1.8572555205047319,-3.842221863424694,-6.911613421169342,-8.579278489809672,-9.293329755352282,-9.71039786447492
linear_6,mix,474144,qasm simulator,1.9345425867507888,-2.9986634101431817,-5.635158941370897,-8.07801349625084,-9.330234318982473,-9.683706288826352
linear_6,mix,474144,qasm simulator,1.921135646687697,-3.913037296116187,-7.231632358022239,-8.806301779783487,-9.39584944670851,-9.776331485733506
linear_6,mix,474144,qasm simulator,1.9503154574132495,-3.033491767836117,-4.8998945929134194,-5.159676177244731,-12.808346222814173,-10.410589241335439
linear_6,mix,474144,qasm simulator,1.9203470031545748,-3.53251560727685,-6.157439022873525,-7.892560972422534,-8.759024706442766,-9.313559990521274
linear_6,mix,474144,qasm simulator,1.9116719242902205,-3.656787113509844,-6.768728117107605,-8.526773473602194,-9.254259469850382,-9.681324045668584
linear_6,mix,474144,qasm simulator,1.936119873817035,-3.210376468756165,-6.5467975069117355,-8.96583354682569,-9.693242275256535,-9.859401675094585
linear_6,mix,474144,qasm simulator,1.8746056782334388,-3.6480490292945587,-6.016140548829265,-7.316369263022946,-7.728591401804497,-7.7311032223198435
linear_6,mix,474144,qasm simulator,1.7894321766561512,-3.609139724870253,-6.520671522227293,-8.456621019167116,-9.238591728261001,-9.670303468679506
linear_6,mix,474144,qasm simulator,1.892744479495268,-3.5818089443099272,-6.570388736212878,-8.35642673649635,-9.208309943869338,-9.638544778511022
linear_6,mix,474144,qasm simulator,1.9124605678233435,-2.999785176219781,-5.5620811855173,-7.8408280962467085,-9.012815711980975,-9.483539216981878
linear_6,mix,474144,qasm simulator,1.9132492113564665,-3.44482323381034,-6.172840821110657,-8.147819332135143,-9.048850725390913,-9.527042154514177
linear_6,mix,474144,qasm simulator,1.9211356466876977,-3.1795296446139854,-5.3064008842842325,-6.401340135081485,-6.404281771164058,-11.372056403382913
linear_6,mix,474144,qasm simulator,1.8477917981072558,-3.803726094849142,-7.159092048534683,-8.998413708142166,-9.615171553699508,-9.834628439812946
linear_6,mix,474144,qasm simulator,1.883280757097792,-3.6478422880198216,-7.106529224058633,-8.776154155377071,-9.348347455186396,-9.765344999364897
linear_6,mix,474144,qasm simulator,1.9881703470031542,-3.285623028136822,-6.148364386066039,-8.102175644764396,-9.03075860070345,-9.50776785681462
linear_6,mix,474144,qasm simulator,1.9085173501577286,-3.6340991990635825,-6.372686498554132,-7.87428820179197,-8.515418729397474,-9.072289507893789
linear_6,mix,474144,qasm simulator,1.9929022082018937,-3.366042366346216,-6.003830205918319,-7.685783535631688,-8.30380096446776,-8.70577018632115
linear_6,mix,474144,qasm simulator,1.855678233438486,-3.5510984828296777,-6.732193311088737,-8.959458210695884,-9.625830895289226,-9.833124071259252
linear_6,mix,474144,qasm simulator,2.012618296529969,-3.584525034671173,-6.752516746804094,-8.504211293425339,-9.224817336522221,-9.669456287972473
linear_6,mix,474144,qasm simulator,2.0544164037854897,-3.0882150038231573,-5.681049580866058,-7.143632166456288,-7.478252139392577,X
linear_6,mix,474144,qasm simulator,2.010252365930599,-2.9340638233648613,-4.8458372841415915,-5.097064498340881,-12.7399591681639,-10.456294598725147
linear_6,mix,474144,qasm simulator,1.9093059936908523,-3.2936189071037294,-6.719934048532311,-8.822465226974357,-9.513124373074525,-9.785836816392333
linear_6,mix,474144,qasm simulator,1.9156151419558363,-3.278567566303453,-5.686611432394752,-7.362256531084981,-8.044274041618241,-8.254859069611664
linear_6,mix,474144,qasm simulator,1.9479495268138798,-3.37849776762038,-6.604670932317719,-8.668462775253001,-9.423269092857016,-9.744513615493888
linear_6,mix,474144,qasm simulator,1.862776025236594,-3.4649993783622315,-6.289535673082884,-8.084934106532529,-8.949872214892643,-9.466489386226321
linear_6,mix,474144,qasm simulator,1.9834384858044167,-3.270059628272814,-6.056870342950427,-8.07563385120954,-9.074698663352317,-9.536278968838584
linear_6,mix,474144,qasm simulator,1.8801261829652995,-3.687928149224904,-6.613896990977422,-8.476942425776716,-9.327679464255828,-9.692511990842336
linear_6,mix,474144,qasm simulator,1.9266561514195584,-3.7358507836965793,-6.741015079863862,-8.386585191224698,-9.141732669880398,-9.62593503620409
linear_6,mix,474144,qasm simulator,1.8643533123028395,-3.998418818083923,-7.339584779642355,-8.895777783845114,-9.518322490086694,-9.809038968817813
linear_6,mix,474144,qasm simulator,1.94794952681388,-3.5006235485064776,-6.382356010752401,-8.020899064073598,-8.689421414876668,-9.283685183381218
linear_6,mix,474144,qasm simulator,1.97397476340694,-3.042860775277853,-5.162830437632845,-6.745576456801155,-7.350095583493369,-7.350148639052488
linear_6,mix,474144,qasm simulator,1.8422712933753942,-3.4976329954297696,-6.527438210855117,-8.464762426364985,-9.273850649257714,-9.68119220173024
linear_6,qwc,474232,qasm simulator,1.888801261829653,-3.3837060683137876,-6.73636356497057,-8.801867773963478,-9.485452286892908,-9.776905118234854
linear_6,qwc,474232,qasm simulator,2.0236593059936907,-3.312613923386511,-6.327306370950746,-8.22237432482239,-8.959560606248377,-9.482944806265895
linear_6,qwc,474232,qasm simulator,1.9045741324921135,-3.631980108688724,-6.789320980636891,-8.592591914408663,-9.322935204394174,-9.71182354474448
linear_6,qwc,474232,qasm simulator,1.9061514195583595,-3.729488604575122,-6.706174069969591,-8.22946001586167,-8.897635143297581,-9.489594572684393
linear_6,qwc,474232,qasm simulator,1.931388012618297,-3.6898384632887016,-6.943167014363368,-8.59823319338036,-9.300649280814877,-9.711530873445508
linear_6,qwc,474232,qasm simulator,1.8927444794952688,-3.614080185388746,-6.581942108439554,-8.627178367615128,-9.410997473109187,-9.73865269376247
linear_6,qwc,474232,qasm simulator,1.8682965299684544,-3.2137002129610477,-5.519383113612561,-7.031234944601261,-7.449060377104731,X
linear_6,qwc,474232,qasm simulator,2.047318611987382,-2.9103765538364943,-5.185361583094078,-6.809259789210227,-6.9697982154690035,-12.45558752139557
linear_6,qwc,474232,qasm simulator,1.8635646687697158,-3.5510151439238595,-6.165679823724277,-7.434013510940694,-7.717210073993247,X
linear_6,qwc,474232,qasm simulator,1.9258675078864353,-3.034199254034305,-5.40098735202385,-7.989074916271692,-9.3499137491957,-9.699738984135033
linear_6,qwc,474232,qasm simulator,1.833596214511041,-3.729653603383208,-7.128283699480592,-9.11894830227111,-9.699140728323162,-9.866127936824203
linear_6,qwc,474232,qasm simulator,1.7973186119873819,-3.8221106471999073,-6.938806407841754,-8.613313198737604,-9.334412869080241,-9.725067193736056
linear_6,qwc,474232,qasm simulator,2.090694006309149,-2.7563894576620203,-5.675006262368324,-8.33661502706084,-9.31230139841292,-9.6425227760366
linear_6,qwc,474232,qasm simulator,1.9029968454258679,-3.47294605315995,-6.1777418225820036,-7.7392221181172935,-8.344926593458224,-8.809436382200907
linear_6,qwc,474232,qasm simulator,1.9605678233438484,-3.5906454384801902,-6.222832488824035,-7.512416167692177,-7.983753038899211,-8.111888182357283
linear_6,qwc,474232,qasm simulator,1.9313880126182965,-3.3039635252080233,-6.279330120336521,-8.752057906386785,-9.641998615088754,-9.837375607804036
linear_6,qwc,474232,qasm simulator,1.8848580441640377,-3.761547048347468,-6.439098757098136,-7.9422812994893,-8.639363755284837,-9.232578373509583
linear_6,qwc,474232,qasm simulator,1.9305993690851737,-2.9815878752602445,-4.546146118851963,-4.590473264482299,-11.960718685980904,-10.374084352567523
linear_6,qwc,474232,qasm simulator,2.027602523659306,-3.3484939732449606,-6.734730923282046,-8.868244146912899,-9.50176360970222,-9.782647727920612
linear_6,qwc,474232,qasm simulator,1.7949526813880121,-3.5962196864619704,-6.399345207448373,-8.1672670262244,-8.95722758010877,-9.4979228384138
linear_6,qwc,474232,qasm simulator,1.9692429022082014,-3.9224657360864286,-6.645941520436724,-8.007390815624522,-8.637759041077528,-9.26063893290282
linear_6,qwc,474232,qasm simulator,1.9660883280757095,-3.707415207824899,-7.285464104312304,-9.038775603541001,-9.580045167122865,-9.830896892738922
linear_6,qwc,474232,qasm simulator,2.0260252365930596,-3.006804519899708,-5.596396400789233,-8.045410040685029,-9.106076541441212,-9.527103424081528
linear_6,qwc,474232,qasm simulator,1.9511041009463719,-3.2997801010790346,-5.906207024917302,-7.703235316876731,-8.51239491355052,-9.039004522547376
linear_6,qwc,474232,qasm simulator,1.8793375394321765,-3.470740937036778,-6.171227704617088,-7.54416466283752,-7.914729109280216,-7.94867969780477
linear_6,qwc,474232,qasm simulator,1.9723974763406937,-3.002299827246169,-5.788806705060228,-7.95778568776363,-8.958749937176355,-9.431980033057648
linear_6,qwc,474232,qasm simulator,1.8793375394321767,-3.7276434198464603,-6.493476714029265,-7.763777597942044,-8.18490399070896,-8.514901613706872
linear_6,qwc,474232,qasm simulator,1.911671924290221,-3.401854518427937,-6.6130143275512925,-8.838320689521371,-9.589878483610677,-9.81554446832125
linear_6,qwc,474232,qasm simulator,2.05993690851735,-2.833917642859658,-4.460451275363103,-4.542669940611895,-12.118777628805343,-10.430298607237953
linear_6,qwc,474232,qasm simulator,1.881703470031546,-3.75686305430467,-7.100354050069837,-8.860596713538161,-9.493840201951365,-9.791377532157913
