system,method,shots,computer,Moment 0,Moment 1,Moment 2,Moment 3,Moment 4,Moment 5,Moment 6,Moment 7,Moment 8,Moment 9,Moment 10,Moment 11,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5,PDS 6
linear_6,mix,474144,qasm simulator,1.0,1.9053627760252365,13.023659305993702,24.15299684542588,296.5425867507886,-158.46454302794982,11392.326725885405,-52507.20349797405,694715.2973898153,-5324866.250161891,54677957.914200425,-491734824.3209812,1.9053627760252365,-3.6627805289313335,-6.960150748695862,-8.697661793621734,-9.392719166212267,-9.749293854535225
linear_6,mix,474144,qasm simulator,1.0,1.8643533123028386,12.774447949526815,25.662460567823334,268.11987381703426,154.2864220952545,7819.186575534531,-14086.997196914625,286630.5512023914,-1067082.4797565667,10671974.933005331,-40708334.55686499,1.8643533123028386,-3.424084317278927,-5.93336277947745,-7.010484543292272,-7.020298029068494,-11.32261976512722
linear_6,mix,474144,qasm simulator,1.0,1.892744479495268,12.66876971608833,25.264984227129325,269.8643533123029,26.585983102071413,9240.638033820356,-34031.74760024421,509328.75139308814,-3607130.98029654,37960285.597321585,-331894690.75801796,1.892744479495268,-3.4514140936547424,-6.448234029660086,-8.440601161771555,-9.278829195756805,-9.673847192486184
linear_6,mix,474144,qasm simulator,1.0,1.9589905362776021,12.504731861198739,26.126182965299662,260.19873817034676,101.21401689792691,8392.401164765835,-25981.4289823742,424396.1191938787,-2755808.812222688,29216182.568796836,-243458617.61556697,1.9589905362776021,-3.390997008437982,-6.243028848857601,-8.161768731710247,-8.997070562861763,-9.498365016086854
linear_6,mix,474144,qasm simulator,0.9999999999999999,1.8698738170347007,12.955835962145109,25.537066246056806,266.35646687697226,197.98915201517926,7268.345199630371,-8612.867920775328,233050.88807561033,-574562.0329084306,6115424.96268717,890428.8184073279,1.8698738170347011,-3.494595713053587,-5.670189980315318,-6.57451630128206,-64.13801077622513,-11.070349782465717
linear_6,mix,474144,qasm simulator,1.0,2.0370662460567823,12.522082018927442,28.746845425867473,252.64984227129383,274.46964439346226,6994.358183877118,-8547.762042531613,251749.88582696716,-892176.7526714575,10248794.961181143,-47488024.41206989,2.0370662460567823,-3.2375622342689163,-5.779229735597232,-7.02244560155844,-7.157398040607973,-12.771276479933858
linear_6,mix,474144,qasm simulator,1.0,2.054416403785489,12.198738170347005,34.39511041009464,209.5993690851735,739.1547671571313,3085.3228911291717,28918.44091865028,-82682.95303287786,2242131.963989198,-18704068.346397758,225658536.69778898,2.054416403785489,-2.59896405824319,-3.4739639939499884,-17.72405862200042,-10.693427531385797,-10.210753021432211
linear_6,mix,474144,qasm simulator,1.0,1.8249211356466877,13.03154574132493,21.364353312302786,300.4195583596212,-239.62302397917475,11615.748189490128,-54898.131520740186,700051.3649570209,-5332874.968874631,53954255.22295643,-480345057.5337538,1.8249211356466877,-3.799057460363288,-6.8727724859090555,-8.595417858912285,-9.279777422731577,-9.710349578617084
linear_6,mix,474144,qasm simulator,1.0,1.916403785488959,13.023659305993686,24.654574132492158,301.0283911671916,-192.20832322251988,12121.391342446565,-60276.35118939952,787949.9802867306,-6312144.305094863,65250379.7375646,-601244788.7289542,1.916403785488959,-3.633744952447888,-7.166401037624331,-8.97469396200227,-9.546125402294294,-9.816712274402622
linear_6,mix,474144,qasm simulator,1.0,1.8761829652996846,13.269716088328089,21.8856466876971,315.4321766561513,-294.86475811254945,12620.047788979338,-61969.074361548075,778919.834901794,-6019642.581385681,60834820.30544782,-544992257.0968815,1.8761829652996846,-3.879042983791906,-7.059699787223217,-8.658354744938077,-9.326873029160124,-9.735686191102538
