system,method,shots,computer,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5
linear_4,mix,21501,qasm simulator,1.6270346779900926,-3.2895936747202343,-5.397193596095043,-6.247218584231064,-6.455042538699786
linear_4,mix,21501,qasm simulator,1.6482661004953996,-3.262374512752479,-5.357824349788933,-6.239652092190756,-6.454822176840533
linear_4,mix,21501,qasm simulator,1.6355272469922157,-3.600150647037818,-5.720351265360661,-6.321678550676291,-6.457850778810572
linear_4,mix,21501,qasm simulator,1.6666666666666665,-3.2576681041546593,-5.086145299467679,-6.2086415954402945,-6.454949290894499
linear_4,mix,21501,qasm simulator,1.454352441613588,-3.2974128147345056,-5.069098962387901,-6.1959599200807105,-6.4539205637165855
linear_4,mix,21501,qasm simulator,1.6383581033262562,-3.415414419792492,-5.07459423974114,-6.2431126222996784,-6.457963475059538
linear_4,mix,21501,qasm simulator,1.6015569709837225,-3.0096877375935307,-4.649362072998782,-6.00475982291071,-6.4464876667053
linear_4,mix,21501,qasm simulator,1.6850672328379335,-2.88650272056123,-4.563794524962848,-5.934232195126052,-6.442921483002129
linear_4,mix,21501,qasm simulator,1.6963906581740977,-3.0852248578682198,-4.918906884149461,-6.125912629062208,-6.451112771953109
linear_4,mix,21501,qasm simulator,1.6496815286624207,-3.3259007939421945,-5.3997017537190555,-6.258503140301837,-6.455692272187719
linear_4,mix,21501,qasm simulator,1.632696390658174,-3.7346028380198373,-5.501589608947121,-6.339937525372356,-6.460649886061306
linear_4,mix,21501,qasm simulator,1.656758669497523,-3.4112168861085768,-5.098085134128153,-6.246197358306132,-6.457171737544231
linear_4,mix,21501,qasm simulator,1.651096956829441,-3.447594503504198,-5.39795747183142,-6.28102861037857,-6.456891367302674
linear_4,mix,21501,qasm simulator,1.4925690021231424,-3.6831236976296244,-5.396212045145292,-6.30516975410989,-6.458452098912602
linear_4,mix,21501,qasm simulator,1.6482661004954,-3.2682524044687087,-5.057272051936662,-6.185414234670356,-6.453975760562632
linear_4,mix,21501,qasm simulator,1.6355272469922153,-3.03957091762724,-4.682075706749744,-6.026396424089821,-6.447937592004045
linear_4,mix,21501,qasm simulator,1.6992215145081386,-2.7746711917162283,-4.667825472731123,-5.96218549688065,-6.443263314945618
linear_4,mix,21501,qasm simulator,1.5307855626326963,-3.31724660773056,-4.983050012032945,-6.19085972916351,-6.454505328743623
linear_4,mix,21501,qasm simulator,1.7246992215145083,-2.9609633204545034,-4.557033860327823,-5.96925383117736,-6.446884596382711
linear_4,mix,21501,qasm simulator,1.4925690021231424,-3.5032186143416078,-5.285305108460613,-6.272587115655432,-6.457057088549435
linear_4,mix,21501,qasm simulator,1.6553432413305025,-2.9884713239018383,-4.9783334319291885,-6.103411919160843,-6.449495210371543
linear_4,mix,21501,qasm simulator,1.651096956829441,-3.247255501310635,-5.3047368139738555,-6.227414162497399,-6.454512470081351
linear_4,mix,21501,qasm simulator,1.6072186836518045,-3.2950424572977446,-4.926630994371079,-6.173536185171473,-6.454063491949928
linear_4,mix,21501,qasm simulator,1.6171266808209483,-3.0893437586436963,-5.473558329827547,-6.244586827103054,-6.453543965388709
linear_4,mix,21501,qasm simulator,1.6482661004953996,-3.2932205260179312,-5.248261662303998,-6.227651256020519,-6.455064326149817
linear_4,mix,21501,qasm simulator,1.5520169851380043,-3.135919185434373,-4.948417558840391,-6.1465161084744295,-6.451647459770846
linear_4,mix,21501,qasm simulator,1.4260438782731777,-3.194713392107157,-4.8215651334271445,-6.116908910975048,-6.451017845796061
linear_4,mix,21501,qasm simulator,1.554847841472045,-3.828337284399516,-5.586962107403229,-6.33407741647216,-6.459411323902454
linear_4,mix,21501,qasm simulator,1.583156404812456,-3.708000703818917,-5.5922105810080565,-6.3143924699052905,-6.458349419485401
linear_4,mix,21501,qasm simulator,1.5251238499646145,-3.013881910047763,-4.749372371953367,-6.0229440970269845,-6.446580852200421
linear_4,mix,21501,qasm simulator,1.5817409766454351,-3.3516928636459506,-5.126258180327719,-6.211788394574052,-6.45474901111629
linear_4,mix,21501,qasm simulator,1.67657466383581,-3.874165426187993,-5.730819893419915,-6.349350445434057,-6.459680101094891
linear_4,mix,21501,qasm simulator,1.5590941259731066,-3.3993949562529244,-5.37484328421079,-6.261781531763312,-6.455998432339921
linear_4,mix,21501,qasm simulator,1.6638358103326256,-2.9739429159479878,-5.083924678627694,-6.1455095465534395,-6.4503395365728124
linear_4,mix,21501,qasm simulator,1.550601556970984,-3.748456338758081,-5.432579741022627,-6.322742435594201,-6.459616899271525
linear_4,mix,21501,qasm simulator,1.5548478414720455,-3.4351403393296085,-5.006929476435728,-6.220363303803591,-6.455959601032667
linear_4,mix,21501,qasm simulator,1.6312809624911537,-3.065983231102041,-4.841672095257185,-6.0905945062371325,-6.449896959313273
linear_4,mix,21501,qasm simulator,1.6921443736730362,-2.590023041648326,-4.016189004414499,-5.016948662077057,-6.390233906924127
linear_4,mix,21501,qasm simulator,1.670912951167728,-3.242411788415148,-5.304447236355701,-6.228025074611081,-6.454421588712677
linear_4,mix,21501,qasm simulator,1.7091295116772824,-3.2692211448102504,-5.309086775987383,-6.228355771403619,-6.454611306121349
linear_4,mix,21501,qasm simulator,1.5534324133050248,-3.3574742825534964,-5.041958625273857,-6.204963978735636,-6.454934384724863
linear_4,mix,21501,qasm simulator,1.8039631988676579,-2.9712301356989776,-5.433782508606887,-6.231800012018349,-6.4529379932151
linear_4,mix,21501,qasm simulator,1.5647558386411888,-3.4367120367506687,-5.4964407362323,-6.279713012806733,-6.456423565245062
linear_4,mix,21501,qasm simulator,1.532200990799717,-3.289561804496862,-4.927631459517834,-6.1789773400701815,-6.454806905382856
linear_4,mix,21501,qasm simulator,1.6015569709837232,-3.4771555065140207,-5.321795710780949,-6.268033576828858,-6.457080217059245
linear_4,mix,21501,qasm simulator,1.6510969568294405,-3.146154398265605,-5.148746557655969,-6.194353039227648,-6.453282441834746
linear_4,mix,21501,qasm simulator,1.5633404104741682,-3.208718615740523,-5.092750976462524,-6.212462109928571,-6.454479992500836
linear_4,mix,21501,qasm simulator,1.6256192498230717,-3.3786481586690593,-5.322815677773423,-6.249917210782126,-6.455735226834206
linear_4,mix,21501,qasm simulator,1.6256192498230715,-2.8036543768622426,-4.304882366196108,-5.650225823198384,-6.429253501156753
linear_4,mix,21501,qasm simulator,1.5605095541401277,-3.599095875435551,-5.468116746865892,-6.297326362786307,-6.4577137858402995
linear_4,mix,21501,qasm simulator,1.5208775654635527,-3.4104303985857953,-5.066134806187747,-6.239175383166726,-6.456365649431341
linear_4,mix,21501,qasm simulator,1.4571832979476294,-3.5770829012773335,-5.382592408791268,-6.278133508732361,-6.457224192650703
linear_4,mix,21501,qasm simulator,1.5675866949752302,-3.3304508042022634,-5.159049312886243,-6.222778040264917,-6.455106776225518
linear_4,mix,21501,qasm simulator,1.6794055201698515,-3.5426622716235627,-5.440790186160614,-6.293229651505882,-6.457727855069127
linear_4,mix,21501,qasm simulator,1.3864118895966029,-4.035774896520618,-5.662297249743752,-6.355488589340799,-6.460322329307504
linear_4,mix,21501,qasm simulator,1.543524416135881,-3.162312811076332,-5.3427708128043285,-6.217777400398964,-6.453514044181343
linear_4,mix,21501,qasm simulator,1.48690728945506,-3.4378698949145505,-5.03868666882164,-6.222354941639566,-6.455612240249653
linear_4,mix,21501,qasm simulator,1.5902335456475583,-3.127040105670812,-4.520260554603514,-6.010090102001319,-6.4498062156902805
linear_4,mix,21501,qasm simulator,1.600141542816702,-3.51353157557453,-5.127928539602271,-6.258834346365083,-6.45765892085901
linear_4,mix,21501,qasm simulator,1.719037508846426,-2.75351738192891,-4.820294811131015,-6.016990129471896,-6.443900059351847
linear_4,mix,21501,qasm simulator,1.5760792639773533,-3.5031813910597336,-5.348497966449573,-6.278959023845531,-6.457156960822616
linear_4,mix,21501,qasm simulator,1.5449398443029017,-3.0942580518599394,-4.569851430077875,-6.0125377439182035,-6.447553222161163
linear_4,mix,21501,qasm simulator,1.6680820948336872,-3.3712359543066466,-5.038545711472306,-6.2326218806388844,-6.457300262543599
