system,method,shots,computer,Moment 0,Moment 1,Moment 2,Moment 3,Moment 4,Moment 5,Moment 6,Moment 7,Moment 8,Moment 9,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5
linear_4,mix,21501,qasm simulator,0.9999999999999999,1.6270346779900922,6.944798301486198,7.910920840439484,85.58394533198754,-98.81998538164348,1775.2468181870915,-7311.019270706439,56665.78307983242,-326625.42393233767,1.6270346779900926,-3.2895936747202343,-5.397193596095043,-6.247218584231064,-6.455042538699786
linear_4,mix,21501,qasm simulator,1.0,1.6482661004953996,6.94196744515216,8.257712343229729,84.35628183263145,-87.6664578330031,1711.96014757579,-6871.859234508617,53903.33712714499,-308485.7865835976,1.6482661004953996,-3.262374512752479,-5.357824349788933,-6.239652092190756,-6.454822176840533
linear_4,mix,21501,qasm simulator,0.9999999999999999,1.6355272469922153,7.108987968860578,6.670866543686842,95.63548083951135,-168.51000661306605,2250.9276275335574,-10464.484076433122,77397.81310547257,-461842.55195897556,1.6355272469922157,-3.600150647037818,-5.720351265360661,-6.321678550676291,-6.457850778810572
linear_4,mix,21501,qasm simulator,1.0,1.6666666666666665,7.097664543524416,8.746127875813588,82.93440302576778,-59.52526307240716,1536.9013841031174,-5520.10512454607,45073.36337057532,-248778.46100031314,1.6666666666666665,-3.2576681041546593,-5.086145299467679,-6.2086415954402945,-6.454949290894499
linear_4,mix,21501,qasm simulator,1.0,1.454352441613588,6.998584571832979,6.19669810773496,85.71732043205371,-104.25253790911071,1691.471894469389,-6716.673070899027,51426.092803359956,-290968.8780411405,1.454352441613588,-3.2974128147345056,-5.069098962387901,-6.1959599200807105,-6.4539205637165855
linear_4,mix,21501,qasm simulator,1.0,1.6383581033262562,7.168435951875443,7.754608842945482,85.1864652581996,-80.69250403165003,1621.866288445697,-6117.52442773775,48349.18688292552,-270074.8097989398,1.6383581033262562,-3.415414419792492,-5.07459423974114,-6.2431126222996784,-6.457963475059538
linear_4,mix,21501,qasm simulator,1.0,1.6015569709837225,6.922151450813868,9.067847737055207,75.3106748807908,-15.539881428886485,1193.9595674822783,-3316.016555868801,30164.071154270103,-152001.26883853695,1.6015569709837225,-3.0096877375935307,-4.649362072998782,-6.00475982291071,-6.4464876667053
linear_4,mix,21501,qasm simulator,1.0,1.6850672328379335,6.910828025477706,10.379624795517048,72.76234729038315,12.211119232420415,1076.5659044237934,-2472.751580754805,25366.21480862715,-120538.33428468627,1.6850672328379335,-2.88650272056123,-4.563794524962848,-5.934232195126052,-6.442921483002129
linear_4,mix,21501,qasm simulator,1.0,1.6963906581740977,7.041047416843597,9.787175292657178,78.57687979302266,-24.806295174782154,1336.8819393686258,-4168.846472451358,36578.053821075984,-193380.43649716317,1.6963906581740977,-3.0852248578682198,-4.918906884149461,-6.125912629062208,-6.451112771953109
linear_4,mix,21501,qasm simulator,1.0,1.6496815286624207,7.001415428167021,8.057545276298542,86.39250287146287,-98.14698409383585,1787.5032659264675,-7332.290069959273,56951.77688443376,-327919.4389915653,1.6496815286624207,-3.3259007939421945,-5.3997017537190555,-6.258503140301837,-6.455692272187719
linear_4,mix,21501,qasm simulator,1.0,1.632696390658174,7.420382165605092,6.333321731463107,98.72078939124985,-164.48327590407573,2219.2880744375993,-9966.181963732555,73887.73771651991,-435498.50364878826,1.632696390658174,-3.7346028380198373,-5.501589608947121,-6.339937525372356,-6.460649886061306
linear_4,mix,21501,qasm simulator,1.0,1.656758669497523,7.315640481245576,8.223370807374137,87.37411390716188,-77.7391551518105,1658.745570986043,-6188.220099079972,49343.394393976385,-274960.4856890932,1.656758669497523,-3.4112168861085768,-5.098085134128153,-6.246197358306132,-6.457171737544231
linear_4,mix,21501,qasm simulator,1.0,1.651096956829441,7.28733191790517,7.918276426159888,91.78180362674465,-111.608425278155,1917.4244892276645,-7944.690520111848,61245.77662919269,-353284.49478495977,1.651096956829441,-3.447594503504198,-5.39795747183142,-6.28102861037857,-6.456891367302674
linear_4,mix,21501,qasm simulator,0.9999999999999999,1.4925690021231421,7.516631280962486,5.038054134326455,101.17472416553548,-182.6385785388604,2275.1057858526783,-10298.100066130659,75314.138653951,-443774.0355597321,1.4925690021231424,-3.6831236976296244,-5.396212045145292,-6.30516975410989,-6.458452098912602
linear_4,mix,21501,qasm simulator,1.0,1.6482661004954,7.137296532200988,8.577541099625266,83.23711902358659,-61.58830763519063,1539.090935458794,-5531.796340770127,45010.03284489455,-248243.32267121447,1.6482661004954,-3.2682524044687087,-5.057272051936662,-6.185414234670356,-6.453975760562632
linear_4,mix,21501,qasm simulator,1.0,1.6355272469922153,6.947629157820237,9.268908147993459,75.49690810158594,-15.23470583458031,1204.2820762706942,-3381.386203055916,30715.39007808051,-155676.1591892605,1.6355272469922153,-3.03957091762724,-4.682075706749744,-6.026396424089821,-6.447937592004045
linear_4,mix,21501,qasm simulator,1.0,1.6992215145081386,6.6532200990799755,10.425185339876785,69.65745478171084,12.357882890721678,1053.515494297681,-2545.8154606522635,25747.6617474737,-125517.65446149935,1.6992215145081386,-2.7746711917162283,-4.667825472731123,-5.96218549688065,-6.443263314945618
linear_4,mix,21501,qasm simulator,1.0,1.5307855626326963,7.1203113941967455,7.072755328158899,84.83571751766384,-83.26981309387085,1595.8607891592123,-5958.14513939647,46860.392386852756,-260130.11206246444,1.5307855626326963,-3.31724660773056,-4.983050012032945,-6.19085972916351,-6.454505328743623
linear_4,mix,21501,qasm simulator,1.0,1.7246992215145083,6.967445152158528,10.483009061060642,73.06617706774331,12.802698595013458,1075.7117747380873,-2449.2326755072922,25214.837782650535,-119385.30733354221,1.7246992215145083,-2.9609633204545034,-4.557033860327823,-5.96925383117736,-6.446884596382711
linear_4,mix,21501,qasm simulator,1.0,1.4925690021231424,7.236376503892424,5.751696773519889,93.48727854930219,-144.0178320745306,1998.03985242421,-8614.025988189296,64197.60891255676,-372960.43264534225,1.4925690021231424,-3.5032186143416078,-5.285305108460613,-6.272587115655432,-6.457057088549435
linear_4,mix,21501,qasm simulator,1.0,1.6553432413305025,6.721160651096957,9.231434107178078,74.6680704929635,-30.77100228556855,1303.6783613518512,-4276.364797605377,36675.79577227852,-197292.40231805408,1.6553432413305025,-2.9884713239018383,-4.9783334319291885,-6.103411919160843,-6.449495210371543
linear_4,mix,21501,qasm simulator,1.0,1.651096956829441,6.94762915782024,8.371201837736244,83.52210736370702,-80.7731370296891,1664.12726091446,-6544.069205155867,51728.704384346776,-294173.78198925656,1.651096956829441,-3.247255501310635,-5.3047368139738555,-6.227414162497399,-6.454512470081351
linear_4,mix,21501,qasm simulator,1.0,1.6072186836518045,7.230714791224344,8.183170327056716,83.96557725105286,-60.54509066861562,1509.0606545775177,-5246.856635689669,42834.4166347615,-232842.89695218834,1.6072186836518045,-3.2950424572977446,-4.926630994371079,-6.173536185171473,-6.454063491949928
linear_4,mix,21501,qasm simulator,1.0,1.6171266808209483,6.723991507430996,8.41155314236654,82.0807838223522,-85.55343241330502,1699.6619795110967,-6931.891209262933,54438.206084020705,-313642.95772278483,1.6171266808209483,-3.0893437586436963,-5.473558329827547,-6.244586827103054,-6.453543965388709
linear_4,mix,21501,qasm simulator,1.0,1.6482661004953996,7.007077140835101,8.217105797454549,84.08368428990757,-81.26547399440793,1658.606812618195,-6465.77377513255,51084.79455408214,-289411.19426171505,1.6482661004953996,-3.2932205260179312,-5.248261662303998,-6.227651256020519,-6.455064326149817
linear_4,mix,21501,qasm simulator,1.0,1.5520169851380043,6.933474876150035,7.9613425684220385,80.44287819196448,-57.831297205109415,1454.6573039573968,-5090.563526040392,41572.969231840114,-226707.7752369679,1.5520169851380043,-3.135919185434373,-4.948417558840391,-6.1465161084744295,-6.451647459770846
linear_4,mix,21501,qasm simulator,1.0,1.4260438782731777,6.9646142958244885,6.472613785342191,81.6988038471802,-74.90300836494876,1474.6877008573792,-5251.378278978585,41595.3288202059,-226380.40779413693,1.4260438782731777,-3.194713392107157,-4.8215651334271445,-6.116908910975048,-6.451017845796061
linear_4,mix,21501,qasm simulator,1.0,1.554847841472045,7.607218683651804,5.0325200422308045,106.07702481640044,-212.2927499912987,2519.5416913206404,-11900.963628136857,86295.12950007548,-515540.3026579886,1.554847841472045,-3.828337284399516,-5.586962107403229,-6.33407741647216,-6.459411323902454
linear_4,mix,21501,qasm simulator,1.0,1.583156404812456,7.4685067232837925,5.933625700462917,101.60069843258731,-185.75126750432153,2365.1888320397256,-10947.932743958338,80366.31885419921,-477929.4806654833,1.583156404812456,-3.708000703818917,-5.5922105810080565,-6.3143924699052905,-6.458349419485401
linear_4,mix,21501,qasm simulator,1.0,1.5251238499646145,6.868365180467093,8.258350446091908,76.6332880860395,-35.05499286485002,1285.779320826517,-4007.648254498627,34324.01880663162,-179760.1198821252,1.5251238499646145,-3.013881910047763,-4.749372371953367,-6.0229440970269845,-6.446580852200421
linear_4,mix,21501,qasm simulator,1.0,1.5817409766454351,7.273177636234962,7.673801816852878,88.03885466337174,-89.1068996322206,1708.8505679115478,-6570.974185838762,51607.34993560966,-290083.6654136647,1.5817409766454351,-3.3516928636459506,-5.126258180327719,-6.211788394574052,-6.45474901111629
linear_4,mix,21501,qasm simulator,1.0,1.67657466383581,7.649681528662421,6.40974325061199,106.38753727100809,-201.23633009641188,2546.0213358393376,-11997.81760699826,87994.4267515924,-526542.3206408875,1.67657466383581,-3.874165426187993,-5.730819893419915,-6.349350445434057,-6.459680101094891
linear_4,mix,21501,qasm simulator,1.0,1.5590941259731066,7.077848549186132,6.8382351235019065,89.94875453923173,-124.8047869316535,1915.9946283340896,-8164.305523650426,61836.67073892315,-359088.25938301295,1.5590941259731066,-3.3993949562529244,-5.37484328421079,-6.261781531763312,-6.455998432339921
linear_4,mix,21501,qasm simulator,1.0,1.6638358103326256,6.7834394904458595,9.502337776849627,76.78091028273765,-34.34892624691109,1373.87366723516,-4633.673233325216,39482.810541459345,-214675.18426090316,1.6638358103326256,-2.9739429159479878,-5.083924678627694,-6.1455095465534395,-6.4503395365728124
linear_4,mix,21501,qasm simulator,1.0,1.550601556970984,7.502476999292284,5.33322891650135,100.7729281960252,-181.15156683257354,2277.4382722494865,-10345.016892323034,75761.90457461738,-447186.42726207426,1.550601556970984,-3.748456338758081,-5.432579741022627,-6.322742435594201,-6.459616899271525
linear_4,mix,21501,qasm simulator,1.0,1.5548478414720455,7.403397027600849,7.118014223892897,89.37144547701091,-92.69684313111287,1699.0931630178795,-6425.466116738021,50212.56650772106,-279755.34559651057,1.5548478414720455,-3.4351403393296085,-5.006929476435728,-6.220363303803591,-6.455959601032667
linear_4,mix,21501,qasm simulator,1.0,1.6312809624911537,6.913658881811746,9.026927940784056,76.92899655424458,-29.89376167438195,1302.395240912836,-4080.373162553799,35326.72742566103,-186304.52365041288,1.6312809624911537,-3.065983231102041,-4.841672095257185,-6.0905945062371325,-6.449896959313273
linear_4,mix,21501,qasm simulator,1.0,1.6921443736730362,6.576786978060863,11.014896801364378,63.24844244892278,55.6809833745199,738.6476976088546,-465.3085633404134,11850.857969904711,-34816.16016381842,1.6921443736730362,-2.590023041648326,-4.016189004414499,-5.016948662077057,-6.390233906924127
linear_4,mix,21501,qasm simulator,1.0,1.670912951167728,7.05237084217976,8.782929008156106,84.62085088116203,-75.51447333310126,1668.897625097166,-6454.9265601615025,51517.245170721595,-291696.8987620804,1.670912951167728,-3.242411788415148,-5.304447236355701,-6.228025074611081,-6.454421588712677
linear_4,mix,21501,qasm simulator,1.0,1.7091295116772824,7.188251946213731,9.286055712180804,85.84753982341957,-69.9497290963302,1675.6196094810487,-6374.728748274225,51394.33170907147,-289796.29627695994,1.7091295116772824,-3.2692211448102504,-5.309086775987383,-6.228355771403619,-6.454611306121349
linear_4,mix,21501,qasm simulator,1.0,1.5534324133050248,7.2137296532201,7.238325618089631,86.70106621187334,-88.2465745478169,1657.3362221990183,-6296.316394602813,49338.211884955876,-275701.22159572097,1.5534324133050248,-3.3574742825534964,-5.041958625273857,-6.204963978735636,-6.454934384724863
linear_4,mix,21501,qasm simulator,0.9999999999999999,1.8039631988676574,6.755130927105448,10.666167786247147,77.04960959706705,-33.88580279140993,1452.9631524601762,-5197.385530147463,44094.48322949659,-245923.02130103367,1.8039631988676579,-2.9712301356989776,-5.433782508606887,-6.231800012018349,-6.4529379932151
linear_4,mix,21501,qasm simulator,1.0,1.5647558386411888,7.035385704175511,6.628879375355307,91.31508359147495,-140.7592843966448,2023.1740512570611,-8946.841123989187,67008.40932558324,-393657.76572343474,1.5647558386411888,-3.4367120367506687,-5.4964407362323,-6.279713012806733,-6.456423565245062
linear_4,mix,21501,qasm simulator,1.0,1.532200990799717,6.978768577494694,7.0023435777847425,81.8726926780597,-76.00936270926873,1512.142250530786,-5535.253895327922,43778.78455326997,-241322.04024688745,1.532200990799717,-3.289561804496862,-4.927631459517834,-6.1789773400701815,-6.454806905382856
linear_4,mix,21501,qasm simulator,0.9999999999999999,1.6015569709837227,7.168435951875444,7.019096678384563,90.00332973675349,-119.2979592310277,1883.2405067696907,-7896.65739677236,60073.682097154044,-347055.0528813243,1.6015569709837232,-3.4771555065140207,-5.321795710780949,-6.268033576828858,-6.457080217059245
linear_4,mix,21501,qasm simulator,1.0,1.6510969568294405,6.9079971691436635,8.799067209634199,80.6174167275765,-57.41089183576385,1511.4909679440314,-5495.300360818159,44893.08654995184,-249201.3381481093,1.6510969568294405,-3.146154398265605,-5.148746557655969,-6.194353039227648,-6.453282441834746
linear_4,mix,21501,qasm simulator,1.0,1.5633404104741682,6.916489738145787,7.645609272214685,82.58718225377935,-75.78277818384291,1575.553989303074,-5920.659450303385,47037.59285556826,-262664.99542886316,1.5633404104741682,-3.208718615740523,-5.092750976462524,-6.212462109928571,-6.454479992500836
linear_4,mix,21501,qasm simulator,1.0,1.6256192498230717,7.1854210898796875,7.840984766744397,88.89776431960837,-101.96133096655167,1818.549917046629,-7389.260287958421,57287.09840706318,-328386.1038251368,1.6256192498230717,-3.3786481586690593,-5.322815677773423,-6.249917210782126,-6.455735226834206
linear_4,mix,21501,qasm simulator,1.0,1.6256192498230715,6.845718329794765,10.165593493671185,69.92796398779483,25.077454085599,948.207870708757,-1672.6353764226708,19693.61828686785,-83808.53028668207,1.6256192498230715,-2.8036543768622426,-4.304882366196108,-5.650225823198384,-6.429253501156753
linear_4,mix,21501,qasm simulator,1.0,1.5605095541401277,7.380750176928519,6.176174399313172,97.77338066896382,-161.2688617405124,2183.7146520019023,-9753.161405218509,72367.8562412261,-425731.5099718069,1.5605095541401277,-3.599095875435551,-5.468116746865892,-6.297326362786307,-6.4577137858402995
linear_4,mix,21501,qasm simulator,1.0,1.5208775654635527,7.2590233545647544,6.655088000185635,89.07095703827459,-103.21948418085013,1741.4287587159056,-6817.230912023026,52554.61683663406,-296080.64519160526,1.5208775654635527,-3.4104303985857953,-5.066134806187747,-6.239175383166726,-6.456365649431341
linear_4,mix,21501,qasm simulator,1.0,1.4571832979476294,7.236376503892428,4.898646061745164,96.29766918427252,-173.50844036058604,2161.537630666063,-9790.303980601666,71568.5106795215,-421823.68249161704,1.4571832979476294,-3.5770829012773335,-5.382592408791268,-6.278133508732361,-6.457224192650703
linear_4,mix,21501,qasm simulator,1.0,1.5675866949752302,7.0806794055201685,7.313308505331065,86.08899794646896,-93.77043379392728,1699.097757358486,-6681.168656387405,51989.36740802614,-294296.4632510759,1.5675866949752302,-3.3304508042022634,-5.159049312886243,-6.222778040264917,-6.455106776225518
linear_4,mix,21501,qasm simulator,1.0,1.6794055201698515,7.363765038924277,7.8541644913159905,93.46291462183706,-120.69176151195558,1984.2593366050605,-8371.248198809646,64075.732936549335,-371603.52681772277,1.6794055201698515,-3.5426622716235627,-5.440790186160614,-6.293229651505882,-6.457727855069127
linear_4,mix,21501,qasm simulator,1.0,1.3864118895966029,7.794055201698513,1.607879990254429,118.5753947536343,-312.47779982133125,3069.2932488717183,-15602.276449363635,109208.4840416275,-664531.6750200134,1.3864118895966029,-4.035774896520618,-5.662297249743752,-6.355488589340799,-6.460322329307504
linear_4,mix,21501,qasm simulator,1.0,1.543524416135881,6.910828025477706,7.694151497221348,85.09318622161894,-95.91810239810657,1745.3068926710973,-7097.080180525101,55168.157518592016,-316563.84842156566,1.543524416135881,-3.162312811076332,-5.3427708128043285,-6.217777400398964,-6.453514044181343
linear_4,mix,21501,qasm simulator,1.0,1.48690728945506,7.389242745930643,6.329330688106928,91.0855521910132,-110.11118072233249,1781.2801155546288,-6999.652106319551,53620.65913705293,-302010.3892775516,1.48690728945506,-3.4378698949145505,-5.03868666882164,-6.222354941639566,-6.455612240249653
linear_4,mix,21501,qasm simulator,1.0,1.5902335456475583,7.060863411181883,8.61762556124047,76.42556820159415,-17.041395472950285,1173.462914621838,-3098.7178193124864,28328.62892578288,-138827.69762045695,1.5902335456475583,-3.127040105670812,-4.520260554603514,-6.010090102001319,-6.4498062156902805
linear_4,mix,21501,qasm simulator,1.0,1.600141542816702,7.414720452937016,7.184516144002412,90.95607531934151,-104.30929425823467,1794.8838652790837,-7082.8733307809225,54720.94171220399,-309569.8866381262,1.600141542816702,-3.51353157557453,-5.127928539602271,-6.258834346365083,-6.45765892085901
linear_4,mix,21501,qasm simulator,1.0,1.719037508846426,6.780608634111818,10.970786490782311,72.22016869119297,10.553536830136856,1133.2120357801668,-2932.209286136921,28951.648521341653,-145280.07451881227,1.719037508846426,-2.75351738192891,-4.820294811131015,-6.016990129471896,-6.443900059351847
linear_4,mix,21501,qasm simulator,1.0,1.5760792639773533,7.2958244869072875,6.784390843804021,93.35478519137284,-131.28890977225532,1982.7819080435754,-8431.587727541679,63724.10957966422,-369511.92631652195,1.5760792639773533,-3.5031813910597336,-5.348497966449573,-6.278959023845531,-6.457156960822616
linear_4,mix,21501,qasm simulator,1.0,1.5449398443029017,7.063694267515925,8.381863956469783,77.69304931955027,-24.02560532757873,1223.3032032763685,-3397.135266204908,30319.154188855235,-151424.97261958625,1.5449398443029017,-3.0942580518599394,-4.569851430077875,-6.0125377439182035,-6.447553222161163
linear_4,mix,21501,qasm simulator,1.0,1.6680820948336872,7.2278839348903015,8.406982005499295,84.78513336349813,-66.36871903750873,1569.0507233766068,-5664.23242026613,45801.9288921374,-252607.18544429308,1.6680820948336872,-3.3712359543066466,-5.038545711472306,-6.2326218806388844,-6.457300262543599
linear_4,mix,21501,qasm simulator,1.0,1.629865534324133,7.089171974522293,8.38286171730883,82.89472462961032,-61.6218834476119,1525.894736231479,-5453.853027508028,44370.31704430753,-244056.5163412341,1.629865534324133,-3.253134249224661,-5.030915612242797,-6.200318776086489,-6.454722202444772
linear_4,mix,21501,qasm simulator,1.0,1.6694975230007076,6.882519462137298,10.210608750130522,70.90544475769492,21.757068439432498,979.6080076108256,-1849.1802930632377,20923.567354657556,-91531.38214240162,1.6694975230007076,-2.8817971056418483,-4.367160483453936,-5.813811627572266,-6.440161494568358
linear_4,mix,21501,qasm simulator,1.0,1.607218683651805,7.179759377211604,6.426844407318466,94.57998909424195,-154.97217871520837,2128.2434652465963,-9560.369067093607,71062.87565115496,-419197.3805413427,1.607218683651805,-3.601890698207991,-5.524423430284707,-6.310343091036552,-6.458442257859113
linear_4,mix,21501,qasm simulator,1.0,1.5746638358103326,7.225053078556261,7.207464643300496,90.3951016903925,-113.19530588330821,1864.0592739549602,-7676.428283039219,58830.89477103698,-338017.6957641574,1.5746638358103326,-3.406070387574609,-5.289222636378216,-6.248507568415127,-6.455804116147995
